Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral high higher/better,% moral low higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,LLM rubric marker,Thesis and stakes framing,thesis_stakes_framing,Random actor-balanced A/B-coded sample,120,7,0.03828197945845,-0.1596638655462185,0.261437908496732,0.04,"[-0.16, 0.26]",False,No clear difference,0.16751769696460972,120,+0.17 (n=120),47.5%,43.3%,9.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which essay presents the central claim and its stakes more clearly and compellingly?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Rhetorical coherence and closure,rhetorical_coherence_closure,Random actor-balanced A/B-coded sample,120,7,0.030812324929972,-0.1372549019607843,0.2156862745098039,0.03,"[-0.14, 0.22]",False,No clear difference,0.17895603142439162,120,+0.18 (n=120),41.7%,38.3%,20.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which essay has better paragraph flow, transitions, and final synthesis?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Avoids plausibility overreach,plausibility_overreach,Random actor-balanced A/B-coded sample,120,7,-0.0168067226890756,-0.042016806722689,0.0,-0.02,"[-0.04, 0.00]",False,No clear difference,0.185375397334324,120,+0.19 (n=120),1.7%,3.3%,95.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,Generic text feature,Words,words,Full paired dataset,1829,7,21.226693450556475,14.053309847364984,29.085827840755183,21,"[14, 29]",True,Higher for moral high,0.35074042291253044,1829,"+0.35 (n=1,829)",63.6%,36.0%,0.4%,Raw feature units; positive means moral high output has more/higher feature value.,Word count.,outputs/analysis/moral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1829,7,-0.170180767189076,-0.3982999911234281,-0.0097903420680092,-0.17,"[-0.40, -0.01]",True,Higher for moral low,0.12086059994542543,1829,"+0.12 (n=1,829)",47.0%,53.0%,0.0%,Raw feature units; positive means moral high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1829,7,-0.0068089913235521,-0.0092105349354032,-0.0043138919278615,-0.0068,"[-0.0092, -0.0043]",True,Higher for moral low,0.09230846917671405,1829,"+0.09 (n=1,829)",41.1%,58.9%,0.0%,Raw feature units; positive means moral high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1829,7,0.2811633807518042,-0.1434139779182558,0.6921691153641767,0.28,"[-0.14, 0.69]",False,No clear difference,-0.013968279778579349,1829,"-0.01 (n=1,829)",50.8%,49.0%,0.2%,Raw feature units; positive means moral high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1829,7,-0.2500619865936109,-0.594967277656637,0.0377194890748449,-0.3,"[-0.6, 0.0]",False,No clear difference,0.12820538717958538,1829,"+0.13 (n=1,829)",24.3%,32.0%,43.7%,Raw feature units; positive means moral high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1829,7,0.1402512269573538,-0.2321726263470307,0.5348872510668843,0.14,"[-0.23, 0.53]",False,No clear difference,-0.12786507036436445,1829,"-0.13 (n=1,829)",51.2%,48.8%,0.0%,Raw feature units; positive means moral high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1829,7,-0.0115564924917599,-0.1052477945553934,0.0599945475479995,-0.012,"[-0.105, 0.060]",False,No clear difference,,0,,41.1%,37.8%,21.2%,Within-task z-score units; positive means moral high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_feature_deltas_by_task.csv
Grant abstract,LLM rubric marker,Risk mitigation,risk_mitigation,Random actor-balanced A/B-coded sample,120,7,0.2978524743230625,0.134453781512605,0.4444444444444445,0.30,"[0.13, 0.44]",True,Higher for moral high,0.5578936572967755,120,+0.56 (n=120),64.2%,34.2%,1.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which abstract identifies more realistic risks and more credible mitigation plans?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Measurable impact,measurable_impact,Random actor-balanced A/B-coded sample,120,7,0.2502334267040149,0.1643323996265172,0.3426704014939309,0.25,"[0.16, 0.34]",True,Higher for moral high,0.42042578457280605,120,+0.42 (n=120),57.5%,32.5%,10.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which abstract gives more concrete and credible expected impacts, not just larger or more dramatic claims?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Problem significance,problem_significance,Random actor-balanced A/B-coded sample,120,7,0.242296918767507,0.1176120448179271,0.3851540616246499,0.24,"[0.12, 0.39]",True,Higher for moral high,0.43400578904446113,120,+0.43 (n=120),50.0%,25.8%,24.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which abstract more clearly states the need, affected population, and consequence of the problem?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Evaluation rigor,evaluation_rigor,Random actor-balanced A/B-coded sample,120,7,0.2334267040149393,0.0718954248366013,0.361344537815126,0.23,"[0.07, 0.36]",True,Higher for moral high,0.4678906779068432,120,+0.47 (n=120),61.7%,38.3%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which abstract describes stronger outcomes, design, measurement, comparison/control logic, and analysis plan?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Stakeholder/context fit,stakeholder_context_fit,Random actor-balanced A/B-coded sample,120,7,0.2180205415499533,0.0915032679738562,0.353361344537809,0.22,"[0.09, 0.35]",True,Higher for moral high,0.517994148637997,120,+0.52 (n=120),50.8%,29.2%,20.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which abstract better fits the affected community or deployment setting?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Feasibility/readiness,feasibility_implementation_readiness,Random actor-balanced A/B-coded sample,120,7,0.215219421101774,0.1008403361344537,0.3412698412698413,0.22,"[0.10, 0.34]",True,Higher for moral high,0.5176449021265455,120,+0.52 (n=120),57.5%,35.8%,6.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which abstract gives more credible evidence that the project can actually be executed, including partners, team capacity, timeline, infrastructure, or prior pilots?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Intervention specificity,intervention_specificity,Random actor-balanced A/B-coded sample,120,7,0.1848739495798319,0.025,0.3529411764705882,0.18,"[0.03, 0.35]",True,Higher for moral high,0.40764075167746555,120,+0.41 (n=120),59.2%,40.8%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which abstract gives a more concrete account of what will be built, delivered, tested, or changed?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,Generic text feature,Words,words,Full paired dataset,1946,7,22.44322107725286,11.80529284628002,33.37509384110787,22,"[12, 33]",True,Higher for moral high,0.39669543597341517,1946,"+0.40 (n=1,946)",59.0%,40.3%,0.7%,Raw feature units; positive means moral high output has more/higher feature value.,Word count.,outputs/analysis/moral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1946,7,0.1010585262683592,0.0277044747749762,0.1716851014910388,0.101,"[0.028, 0.172]",True,Higher for moral high,,0,,51.7%,44.5%,3.8%,Within-task z-score units; positive means moral high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1946,7,-0.0033845981569784,-0.0059884656834844,-0.0008539326228198,-0.0034,"[-0.0060, -0.0009]",True,Higher for moral low,-0.08986482933213086,1946,"-0.09 (n=1,946)",45.3%,54.7%,0.0%,Raw feature units; positive means moral high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1946,7,0.4131845148807939,-0.1601227901969689,1.060975295206145,0.4,"[-0.2, 1.1]",False,No clear difference,0.17149726124059383,1946,"+0.17 (n=1,946)",43.8%,35.8%,20.3%,Raw feature units; positive means moral high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1946,7,0.221530264093614,-0.4187670362088795,0.8125064160727915,0.22,"[-0.42, 0.81]",False,No clear difference,-0.05172838523404956,1946,"-0.05 (n=1,946)",51.2%,48.8%,0.0%,Raw feature units; positive means moral high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1946,7,0.0528562518498695,-0.3684836512940223,0.4116641581954147,0.05,"[-0.37, 0.41]",False,No clear difference,-0.06711218603925574,1946,"-0.07 (n=1,946)",50.8%,49.1%,0.1%,Raw feature units; positive means moral high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1946,7,-0.0199803646848172,-0.1381426889307703,0.1394582377888054,-0.02,"[-0.14, 0.14]",False,No clear difference,-0.07514246778282838,1946,"-0.08 (n=1,946)",48.7%,51.3%,0.0%,Raw feature units; positive means moral high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_feature_deltas_by_task.csv
Incident postmortem,LLM rubric marker,Impact specificity,impact_specificity,Random actor-balanced A/B-coded sample,119,7,0.1048085901027077,-0.0550887021475256,0.2794117647058823,0.10,"[-0.06, 0.28]",False,No clear difference,0.3288894772407382,119,+0.33 (n=119),54.6%,44.5%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Action-item concreteness,action_item_concreteness,Random actor-balanced A/B-coded sample,119,7,0.0962885154061624,-0.0588235294117647,0.2531512605042016,0.10,"[-0.06, 0.25]",False,No clear difference,0.5073166468320752,119,+0.51 (n=119),54.6%,45.4%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Detection/observability analysis,detection_observability_analysis,Random actor-balanced A/B-coded sample,119,7,-0.051704014939309,-0.2279411764705882,0.1428571428571428,-0.05,"[-0.23, 0.14]",False,No clear difference,0.46464558977543124,119,+0.46 (n=119),47.1%,52.1%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Operational realism,operational_realism,Random actor-balanced A/B-coded sample,119,7,-0.0338468720821661,-0.187937675070028,0.1639122315592897,-0.03,"[-0.19, 0.16]",False,No clear difference,0.5189520479680937,119,+0.52 (n=119),43.7%,47.1%,9.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which postmortem sounds more like a real engineering postmortem rather than a polished but generic template?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Timeline precision,timeline_precision,Random actor-balanced A/B-coded sample,119,7,-0.0222922502334267,-0.1559290382819795,0.1523109243697478,-0.02,"[-0.16, 0.15]",False,No clear difference,0.4488265910774755,119,+0.45 (n=119),48.7%,51.3%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Blameless systems framing,blameless_systems_framing,Random actor-balanced A/B-coded sample,119,7,-0.0177987861811391,-0.0929738562091503,0.0653011204481792,-0.02,"[-0.09, 0.07]",False,No clear difference,0.29109837123225385,119,+0.29 (n=119),6.7%,8.4%,84.9%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which postmortem avoids individual blame while still giving a candid causal account?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Root-cause specificity,root_cause_specificity,Random actor-balanced A/B-coded sample,119,7,0.0081699346405228,-0.1706757703081232,0.2119514472455649,0.01,"[-0.17, 0.21]",False,No clear difference,0.44949196763735816,119,+0.45 (n=119),49.6%,48.7%,1.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,LLM rubric marker,Contributing-factor analysis,contributing_factor_analysis,Random actor-balanced A/B-coded sample,119,7,-0.0001167133520074,-0.0842670401493931,0.1081932773109243,0.00,"[-0.08, 0.11]",False,No clear difference,0.44832069458820556,119,+0.45 (n=119),49.6%,49.6%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Translation,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1858,7,-0.0066100758106173,-0.0142436635968768,-0.0010926016453786,0.0,"[0.0, 0.0]",True,Higher for moral low,-0.061141771101576994,1858,"-0.06 (n=1,858)",0.1%,0.3%,99.6%,Raw feature units; positive means moral high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_feature_deltas_by_task.csv
Translation,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1858,7,0.1666442775000391,-0.0249932070466659,0.3728464381691856,0.17,"[-0.02, 0.37]",False,No clear difference,0.01732866823687598,1858,"+0.02 (n=1,858)",15.1%,15.2%,69.8%,Raw feature units; positive means moral high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_feature_deltas_by_task.csv
Translation,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1858,7,-0.0546403891697016,-0.733088881829822,0.6200144624913897,-0.05,"[-0.73, 0.62]",False,No clear difference,-0.02040053978626936,1858,"-0.02 (n=1,858)",34.4%,33.9%,31.6%,Raw feature units; positive means moral high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_feature_deltas_by_task.csv
Translation,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1858,7,-0.0317361330083203,-0.1796359340309374,0.1315565191388508,-0.03,"[-0.18, 0.13]",False,No clear difference,0.0002776130996984866,1858,"+0.00 (n=1,858)",46.7%,46.2%,7.1%,Raw feature units; positive means moral high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_feature_deltas_by_task.csv
Translation,Generic text feature,Words,words,Full paired dataset,1858,7,0.0051073813102192,-0.1342383885164734,0.148332551106369,0.0,"[-0.1, 0.1]",False,No clear difference,-0.04569490733981284,1858,"-0.05 (n=1,858)",40.9%,39.5%,19.6%,Raw feature units; positive means moral high output has more/higher feature value.,Word count.,outputs/analysis/moral_feature_deltas_by_task.csv
Translation,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1858,7,0.0009955712808613,-0.0013731934199832,0.0033756107317521,0.0010,"[-0.0014, 0.0034]",False,No clear difference,0.12762829860925132,1858,"+0.13 (n=1,858)",46.1%,42.4%,11.6%,Raw feature units; positive means moral high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_feature_deltas_by_task.csv
Translation,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1858,7,-5.747174189504983e-05,-0.0054824256380479,0.0047981491141555,0.000,"[-0.005, 0.005]",False,No clear difference,,0,,2.0%,1.9%,96.1%,Within-task z-score units; positive means moral high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_feature_deltas_by_task.csv
Translation,LLM rubric marker,Fluency/idiomaticity,fluency_idiomaticity,Random actor-balanced A/B-coded sample,120,7,0.0760971055088702,-0.0826447245564892,0.2436974789915966,0.08,"[-0.08, 0.24]",False,No clear difference,0.5307143184223814,120,+0.53 (n=120),36.7%,29.2%,34.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which translation reads more naturally and idiomatically in English?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Terminology precision,terminology_precision,Random actor-balanced A/B-coded sample,120,7,0.0681605975723622,-0.0308123249299719,0.1512605042016806,0.07,"[-0.03, 0.15]",False,No clear difference,0.32953899683678683,120,+0.33 (n=120),22.5%,15.8%,61.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which translation uses more domain-appropriate terminology?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Structural clarity,structural_clarity,Random actor-balanced A/B-coded sample,120,7,0.0504201680672268,-0.0252100840336134,0.1428571428571428,0.05,"[-0.03, 0.14]",False,No clear difference,0.44652110269222567,120,+0.45 (n=120),14.2%,9.2%,76.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which translation more clearly handles clauses, lists, appositives, parentheticals, quotation, and sentence breaks while preserving source relations?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Named-entity fidelity,named_entity_fidelity,Random actor-balanced A/B-coded sample,120,7,-0.042016806722689,-0.1008403361344537,0.0252100840336134,-0.04,"[-0.10, 0.03]",False,No clear difference,0.257118055672739,120,+0.26 (n=120),10.8%,15.0%,74.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which translation better handles names, organizations, places, titles, acronyms, and transliterations?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Avoids additions/omissions,additions_omissions,Random actor-balanced A/B-coded sample,120,7,-0.0252100840336134,-0.0588235294117647,0.0,-0.03,"[-0.06, 0.00]",False,No clear difference,0.17323581654931502,120,+0.17 (n=120),2.5%,5.0%,92.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which translation has fewer unsupported additions and fewer omissions of source meaning?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Numeric/factual fidelity,numeric_factual_fidelity,Random actor-balanced A/B-coded sample,120,7,-0.0252100840336134,-0.0588235294117647,0.0,-0.03,"[-0.06, 0.00]",False,No clear difference,0.17453740695466294,120,+0.17 (n=120),0.8%,3.3%,95.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which translation better preserves numbers, dates, currencies, percentages, units, and factual details?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
